resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
11060,1136,41,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,7,0.48,576,1,2,0,5,3349.448000008124
11060,1136,41,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,3,0.52,551,1,1,1,2,1299.7040000045672
11060,1136,41,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,6,0.54,517,2,1,0,5,2832.9150000063237
11060,1136,41,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,1,0.56,701,1,1,1,0,0
11060,1136,41,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,5,0.68,474,1,1,1,4,2349.6220000088215
11065,1137,24,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,6,0.42,503,2,2,1,3,4083.1280001439154
11065,1137,24,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,2,0.44,985,1,2,0,1,1133.2010000478476
11065,1137,24,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,8,0.46,530,2,2,1,5,5183.052999898791
11065,1137,24,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,3,0.48,610,1,2,0,1,2116.514000110328
11065,1137,24,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,4,0.52,703,1,1,1,1,2733.2020001485944
11065,1137,24,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,5,0.54,634,1,1,1,2,3449.8600002843887
11065,1137,24,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,1,0.56,1128,1,1,1,0,0
11065,1137,24,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,7,0.68,578,1,1,1,4,4599.73799996078
11071,1140,39,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,7,0.42,644,2,2,1,5,3533.464000094682
11071,1140,39,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,3,0.44,677,2,2,1,2,1200.0380004756153
11071,1140,39,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,8,0.46,577,1,2,0,6,4183.333000168204
11071,1140,39,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,1,0.48,704,2,2,1,0,0
11071,1140,39,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,4,0.52,521,2,1,0,3,1883.39600013569
11071,1140,39,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,6,0.54,522,1,1,1,4,3000.101000070572
11071,1140,39,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,5,0.56,580,1,1,1,3,2416.7080000042915
11071,1140,39,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,2,0.68,482,1,1,1,1,716.6510000824928
11076,1142,55,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,4,0.42,555,1,2,0,1,1816.5939999744296
11076,1142,55,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,8,0.44,409,1,2,0,3,4066.5039999294095
11076,1142,55,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,7,0.46,503,2,2,1,2,3566.523999965284
11076,1142,55,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,5,0.48,557,2,2,1,1,2366.571999969892
11076,1142,55,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,6,0.52,659,2,1,0,2,2916.549999965355
11076,1142,55,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,3,0.54,788,2,1,0,1,1033.2919999491423
11076,1142,55,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,2,0.56,532,2,1,0,1,499.97999996412545
11076,1142,55,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,1,0.68,497,1,1,1,0,0
11081,1143,Not Set,female,firstyear,study6bp,3,3,0,0,0,0,0,1,1,6,0.42,481,2,2,1,4,3959.69698510586
11081,1143,Not Set,female,firstyear,study6bp,3,3,0,0,0,0,0,2,1,5,0.44,838,2,2,1,3,3108.3904803152036
11081,1143,Not Set,female,firstyear,study6bp,3,3,0,0,0,0,0,3,1,4,0.46,442,1,2,0,3,2657.9445555919883
